mode: set
fib/fib.go:5.41,7.2 1 1
fib/fib.go:9.39,11.2 1 1
fib/fib.go:13.29,14.14 1 1
fib/fib.go:17.2,18.29 2 1
fib/fib.go:21.2,21.15 1 1
fib/fib.go:14.14,16.3 1 1
fib/fib.go:18.29,20.3 1 1
fib/fib.go:24.28,25.15 1 1
fib/fib.go:28.2,28.30 1 1
fib/fib.go:31.2,32.6 2 1
fib/fib.go:25.15,27.3 1 1
fib/fib.go:28.30,30.3 1 1
fib/fib.go:32.6,34.10 2 1
fib/fib.go:35.29,36.15 1 1
fib/fib.go:37.28,38.16 1 1
fib/fib.go:39.11,40.40 1 1
fib/fib.go:45.32,47.31 2 1
fib/fib.go:50.2,50.16 1 1
fib/fib.go:47.31,49.3 1 1
fib/fib.go:53.24,54.12 1 1
fib/fib.go:57.2,57.12 1 1
fib/fib.go:60.2,60.35 1 1
fib/fib.go:54.12,56.3 1 1
fib/fib.go:57.12,59.3 1 1
fib/fib.go:63.44,64.12 1 1
fib/fib.go:67.2,67.48 1 1
fib/fib.go:64.12,66.3 1 1
